Ticker;Name;Exchange;About_en;About_es;Url;CedearRatio;Currency;Ready
AGRO;Agrometal S.A.;BCBA;<b>Agrometal</b> is a company dedicated to the development and production of agricultural machinery for precision planting. Its plant is located in the province of Córdoba in the town of Monte Maíz. It has more than 400 employees.;<b>Agrometal</b> es una empresa dedicada al desarrollo y producción de maquinaria agrícola para siembra de precisión. Su planta está localizada en la provincia de Córdoba en la localidad de Monte Maíz. Tiene más de 400 empleados.;https://www.agrometal.com/;-;ARS;True
ALUA;Aluar Aluminio Argentino S.A.;BCBA;<b>Aluar</b> produces more than 460,000 tons of aluminum per year. Its fabricated division also produces various extrusions and laminates. It also offers architectural solutions (openings and facade systems).;<b>Aluar</b> produce más de 460.000 toneladas de aluminio al año. Su división elaborados también produce distintos extruidos y laminados. Ofrece también soluciones de arquitectura (aberturas y sistemas de fachadas).  ;https://aluar.com.ar/;-;ARS;True
AUSO;Autopistas Del Sol S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
BBAR;Banco Bbva Argentina S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
BHIP;Banco Hipotecario S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
BMA;Banco Macro S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
BOLT;Boldt S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
BPAT;Banco Patagonia S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
BYMA;Bolsas Y Mercados Argentinos S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CADO;Carlos Casado S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CAPX;Capex S.A.;BCBA;<b>Capex</b> is engaged in the exploration and exploitation of hydrocarbons and the generation of electric, thermal and renewable energy. Its subsidiary Hychico S.A. focuses on renewable energies and hydrogen and oxygen production.;<b>Capex</b> se dedica a la exploración y explotación de hidrocarburos, y a la generación de energía eléctrica, térmica y renovable. Su subsidiaria Hychico S.A. se enfoca en energías renovables y en la producción de hidrógeno y oxígeno. ;https://www.capex.com.ar;-;ARS;True
CARC;Carboclor S. A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CECO2;Central Costanera S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CELU;Celulosa Argentina S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CEPU;Central Puerto S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CGPA2;Camuzzi Gas Pampeana S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
COME;Sociedad Comercial Del Plata S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CRES;Cresud S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CTIO;Consultatio S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
CVH;Cablevision Holding S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
DGCU2;Distribuidora De Gas Cuyana S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
DOME;Domec S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
DYCA;Dycasa S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
EDN;Edenor S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
FERR;Ferrum S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
FIPL;Fiplasto S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GAMI;B-Gaming S.A.;BCBA;<b>Boldt Gaming (B-Gaming)</b> is an Argentine company leader in integral solutions for the capture, communication and processing of large volumes of data related to gaming. With 6 primary and 3 alternative processing centers, it captures 420 million bets monthly throughout the country.;<b>Boldt Gaming (B-Gaming)</b> es una compañía argentina líder en soluciones integrales para la captura, comunicación y procesamiento de grandes volúmenes de datos relacionados con los juegos de azar. Con 6 centros de procesamiento primarios y 3 alternativos captura mensualmente 420 millones de apuestas a lo largo y ancho del país. Es un desprendimiento <b>Boldt</b>.;https://boldtgaming.com.ar;-;ARS;True
GARO;Garovaglio Y Zorraquin S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GBAN;Naturgy Ban S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GCDI;Gcdi S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
GCLA;Grupo Clarin S.A.;BCBA;This is a test text. I will correct this in the future. I think it will be cool.;This is a test text. I will correct this in the future. I think it will be cool.;https://thiswillbean.url;-;ARS;False
